形態,工事名,工事箇所　　※起点側を代表して記入,緯度,経度,着工,竣工,発注者
ＪＳ,横浜市獅子ヶ谷雨水幹線,神奈川県横浜市鶴見区獅子ヶ谷１丁目40番地先	,35.517675,139.653942,2014/11/25,2017/09/29,横浜市
ＪＳ,横浜市環状北西線換気所,神奈川県横浜市緑区北八朔町217-4	,35.52906,139.537098,2015/09/25,2017/07/31,横浜市
単独,都下水湯島ポンプ所耐震,東京都文京区湯島4-6-27	,35.708357,139.766402,2016/09/16,2017/09/11,東京都下水道局	
ＪＭ,京急野毛山隧道補修工事９,神奈川県横浜市南区南太田	,35.438028,139.614861,2016/12/01,2017/07/25,京浜急行電鉄株式会社
単独,三井化学構内保全工事９５,千葉県市原市千種海岸3番地　三井化学市原工場構内	,35.50111,140.046767,2017/04/01,2017/09/30,三井化学株式会社
単独,日揮東燃ゼネラル配管工事,千葉県市原市千種海岸１番地	,35.511603,140.054458,2017/03/10,2017/09/30,日揮株式会社
単独,都下水第二戸山幹線その７,東京都新宿区新宿二、五、六、七丁目、戸山二丁目	,35.690127,139.707877,2014/04/24,2017/12/26,東京都下水道局
単独,関東地整北千葉大谷津函渠,千葉県成田市押畑地先	,35.806606,140.311683,2014/11/15,2017/12/28,国土交通省関東地方整備局
ＪＳ,都水道朝霞連絡管内配管,埼玉県朝霞市泉水一丁目6番地先	,35.801524,139.575029,2015/07/21,2017/12/19,東京都水道局	
単独,横浜市馬車道駅地下道補修,神奈川県横浜市中区南仲通4-43地先        ,35.449132,139.637078,2017/01/24,2017/11/30,横浜市
単独,首都高王子南出入口下部,東京都北区堀船一丁目、二丁目、王子一丁目	,35.752281,139.740088,2012/04/07,2018/03/29,首都高速道路株式会社	
ＪＳ,川崎市等々力水処理Ｃ３５,神奈川県川崎市中原区宮内3-22-1	,35.590962,139.645992,2016/02/03,2018/03/23,川崎市
ＪＭ,京急野毛山隧道補修工事８,神奈川県横浜市南区南太田	,35.438028,139.614861,2016/04/04,2018/03/30,京浜急行電鉄株式会社
ＪＭ,新京成鎌ヶ谷立体交差１４,千葉県鎌ケ谷市新鎌ヶ谷２号踏切        ,35.782102,140.001476,2016/04/01,2018/03/31,新京成電鉄株式会社
ＪＳ,大和市南林間雨水調整池,神奈川県大和市南林間六丁目地内	,35.491314,139.441212,2016/09/30,2018/03/30,大和市
単独,都財務若潮橋撤去新橋２,東京都品川区東品川五丁目地内	,35.622161,139.756078,2017/02/21,2018/02/21,東京都財務局	
ＪＳ,京成電鉄葛飾連立１工区３,東京都葛飾区四つ木一丁目地先	,35.733462,139.835237,2017/04/01,2018/03/31,京成電鉄株式会社
単独,三井化学構内保全９５下,千葉県市原市千種海岸3番地　三井化学市原工場構内	,35.50111,140.046767,2017/07/01,2018/03/31,三井化学株式会社	
単独,都下水南元町幹線工事,東京都新宿区南元町、若葉一丁目、四谷一丁,35.679778,139.723587,2012/08/13,2018/05/07,東京都下水道局
単独,都下水東金町ポンプ所耐震,東京都葛飾区東金町8-24-1(東金町ポンプ所内),35.780977,139.889058,2015/09/15,2018/08/24,東京都下水道局
ＪＳ,都財務野川大沢調節池工事,東京都三鷹市大沢五丁目地内,35.672252,139.5358,2017/06/08,2018/08/31,東京都財務局
ＪＭ,京急野毛山隧道補修１０,神奈川県横浜市南区南太田,35.438028,139.614861,2017/07/03,2018/08/31,京浜急行電鉄株式会社
単独,関東天然瓦斯排水管吐出口,千葉県長生郡長生村一松字塩浜3454-19,35.411069,140.391932,2017/12/01,2018/08/11,関東天然瓦斯開発株式会社
単独,三井化学構内保全９６上,千葉県市原市千種海岸３番地　三井化学市原工場構内,35.50111,140.046767,2018/04/01,2018/09/30,三井化学株式会社
ＪＭ,京急野毛山隧道補修１１,神奈川県横浜市南区南太田,35.438028,139.614861,2018/02/01,2018/07/31,京浜急行電鉄株式会社
ＪＭ,都交通雑司が谷地下道建設,東京都豊島区雑司が谷3-1,35.719493,139.713655,2013/03/14,2018/10/31,東京都交通局
単独,武蔵野ＣＣ解体工事,東京都武蔵野市緑町3-1-5,35.718675,139.566557,2016/12/21,2018/10/31,武蔵野市
単独,東京熱供給光が丘再構築,東京都練馬区光が丘二丁目、三丁目、五丁目、六丁目、七丁目,35.780977,139.889058,2011/06/17,2019/03/31,東京熱供給株式会社
ＪＳ,首都高ＨＭ１１基礎下部,東京都中央区晴海二丁目,35.672252,139.5358,2012/02/01,2019/03/10,首都高速道路株式会社
単独,関東地整上八木沢トンネル,山梨県南巨摩郡身延町上八木沢地先	,35.438028,139.614861,2014/02/15,2019/03/29,国土交通省関東地方整備局
単独,関東地整帯金第２トンネル,山梨県南巨摩郡身延町帯金地先,35.390407,138.45274,2014/02/26,2019/03/29,国土交通省関東地方整備局
ＪＭ,相鉄星川天王立体交差１１,神奈川県横浜市保土ヶ谷区星川地内,35.50111,140.046767,2016/10/08,2019/03/29,相模鉄道株式会社
単独,都下水湯島ポンプ所耐震２,東京都文京区湯島4-6-27,35.438028,139.614861,2017/09/15,2019/02/28,東京都下水道局
ＪＳ,神奈川県伊勢原北ＩＣ橋梁,神奈川県伊勢原市上粕屋地内（県道603号）,35.719493,139.713655,2017/12/21,2019/03/29,神奈川県
ＪＳ,京成電鉄葛飾連立１工区４,東京都葛飾区四つ木一丁目地先,35.733462,139.835237,2018/02/28,2019/03/31,京成電鉄株式会社
単独,三井化学構内保全９６下,千葉県市原市千種海岸3番地　三井化学市原工場場内,35.50111,140.046767,2018/03/07,2019/03/31,三井化学株式会社
単独,都財務王子南電線共同溝,東京都北区王子一丁目地内,35.753656,139.738602,2018/10/26,2019/03/26,東京都財務局
ＪＭ,都下水雑司が谷保守管理,東京都豊島区雑司が谷3-1,35.719493,139.713655,2018/11/01,2019/03/31,東京都下水道局
ＪＭ,東日本道路外環田尻工事,千葉県市川市稲荷木1丁目,35.71126,139.924919,2010/09/10,2019/06/24,東日本高速道路株式会社
ＪＳ,千葉県江戸川幹線工事,千葉県市川市塩焼４丁目地先,35.687422,139.932963,2016/12/21,2019/04/25,千葉県
単独,ＣＥ清里の杜流出防止工,山梨県北杜市高根町清里字小倉79番1他,35.896212,138.474004,2019/05/17,2019/05/17,合同会社クリーンエナジー清里の杜
単独,都財務仙台坂Ｔ長寿命化,東京都品川区東大井四丁目地内,35.605629,139.739402,2018/02/19,2019/07/29,東京都財務局
単独,小平市組合小川四番造成,東京都小平市小川一丁目,35.727268,139.438468,2018/04/01,2019/09/30,小平市小川四番土地区画整理
単独,京橋一丁目東地区計画道路,東京都中央区京橋1-7-1,35.678574,139.771599,2018/11/15,2019/09/30,戸田建設株式会社
単独,都建設局日本橋水門耐震,東京都中央区日本橋茅場町一丁目地内,35.680371,139.780118,2018/12/07,2019/09/13,東京都建設局
単独,三井化学構内保全９７上,千葉県市原市千種海岸３番地　三井化学市原工場場内,35.50111,140.046767,2019/04/01,2019/09/30,三井化学株式会社
単独,千葉県江戸川人孔修繕工事,千葉県市川市塩焼地先,35.687749,139.932716,2019/08/10,2019/09/18,千葉県
単独,日揮軽米東ソーラー新設,岩手県九戸郡軽米町大字山内第4地割字駒坂１１１－１他５４筆,40.297062,141.424104,2017/03/01,2019/11/30,日揮ホールディングス株式会社
